Land;RB;Kreis;VB;Gem;Stadt;Plz;Fläche_km;inhabitants_total;inhabitants_f;inhabitants_m;inhabitant_density
11;0;0;0;0;Berlin, Stadt;10178;891,12;3613495;1776267;1837228;4055
2;0;0;0;0;Hamburg, Freie und Hansestadt;20038;755,09;1830584;897207;933377;2424
9;1;62;0;0;München, Landeshauptstadt;80313;310,71;1456039;708422;747617;4686
5;3;15;0;0;Köln, Stadt;50667;405,01;1080394;526965;553429;2668
6;4;12;0;0;Frankfurt am Main, Stadt;60311;248,31;746878;368721;378157;3008
8;1;11;0;0;Stuttgart, Landeshauptstadt;70173;207,35;632743;316126;316617;3052
5;1;11;0;0;Düsseldorf, Stadt;40213;217,41;617280;298330;318950;2839
5;9;13;0;0;Dortmund, Stadt;44135;280,71;586600;288076;298524;2090
5;1;13;0;0;Essen, Stadt;45127;210,34;583393;283206;300187;2774
14;7;13;0;0;Leipzig, Stadt;4109;297,80;581980;285777;296203;1954
4;0;11;0;0;Bremen, Stadt;28195;317,88;568006;280484;287522;1787
14;6;12;0;0;Dresden, Stadt;1067;328,48;551072;274513;276559;1678
3;2;41;1;1;Hannover, Landeshauptstadt;30159;204,30;535061;261192;273869;2619
9;5;64;0;0;Nürnberg;90403;186,45;515201;250702;264499;2763
5;1;12;0;0;Duisburg, Stadt;47051;232,80;498110;246183;251927;2140
5;9;11;0;0;Bochum, Stadt;44787;145,66;365529;178122;187407;2509
5;1;24;0;0;Wuppertal, Stadt;42275;168,39;353590;173025;180565;2100
5;7;11;0;0;Bielefeld, Stadt;33602;258,82;332552;160267;172285;1285
5;3;14;0;0;Bonn, Stadt;53111;141,06;325490;155605;169885;2307
5;5;15;0;0;Münster, Stadt;48143;303,28;313559;150360;163199;1034
8;2;12;0;0;Karlsruhe, Stadt;76124;173,42;311919;159659;152260;1799
8;2;22;0;0;Mannheim, Universitätsstadt;68159;144,97;307997;153663;154334;2125
9;7;61;0;0;Augsburg;86143;146,87;292851;143867;148984;1994
6;4;14;0;0;Wiesbaden, Landeshauptstadt;65183;203,87;278654;133148;145506;1367
5;1;16;0;0;Mönchengladbach, Stadt;41061;170,47;262188;128925;133263;1538
5;5;13;0;0;Gelsenkirchen, Stadt;45879;104,94;260305;129548;130757;2481
3;1;1;0;0;Braunschweig, Stadt;38100;192,70;248023;122721;125302;1287
1;0;2;0;0;Kiel, Landeshauptstadt;24103;118,65;247943;120809;127134;2090
14;5;11;0;0;Chemnitz, Stadt;9111;221,05;246855;121771;125084;1117
5;3;34;2;2;Aachen, Stadt;52062;160,85;246272;128064;118208;1531
15;0;2;0;0;Halle (Saale), Stadt;6108;135,03;239173;115771;123402;1771
15;0;3;0;0;Magdeburg, Landeshauptstadt;39104;201,01;238478;117677;120801;1186
8;3;11;0;0;Freiburg im Breisgau, Stadt;79098;153,04;229636;109537;120099;1500
5;1;14;0;0;Krefeld, Stadt;47803;137,77;226699;110467;116232;1645
1;0;3;0;0;Lübeck, Hansestadt;23552;214,19;216318;103884;112434;1010
7;3;15;0;0;Mainz, Stadt;55116;97,73;215110;104564;110546;2201
16;0;51;0;0;Erfurt, Stadt;99084;269,91;212988;103683;109305;789
5;1;19;0;0;Oberhausen, Stadt;46045;77,09;211422;103851;107571;2743
13;0;3;0;0;Rostock, Hansestadt;18055;181,36;208409;102700;105709;1149
6;6;11;0;0;Kassel, documenta-Stadt;34117;106,80;200736;98371;102365;1880
5;9;14;0;0;Hagen, Stadt der FernUniversität;58095;160,45;187730;91443;96287;1170
10;0;41;100;100;Saarbrücken, Landeshauptstadt;66111;167,52;180966;89755;91211;1080
5;9;15;0;0;Hamm, Stadt;59065;226,43;179185;88012;91173;791
12;0;54;0;0;Potsdam, Stadt;14469;188,26;175710;85046;90664;933
5;1;17;0;0;Mülheim an der Ruhr, Stadt;45468;91,28;171265;82616;88649;1876
7;3;14;0;0;Ludwigshafen am Rhein, Stadt;67059;77,43;168497;83893;84604;2176
3;4;3;0;0;Oldenburg (Oldenburg), Stadt;26122;103,09;167081;79833;87248;1621
3;4;4;0;0;Osnabrück, Stadt;49074;119,80;164374;79505;84869;1372
5;3;16;0;0;Leverkusen, Stadt;51373;78,87;163577;79675;83902;2074
8;2;21;0;0;Heidelberg, Stadt;69117;108,89;160601;77319;83282;1475
5;1;22;0;0;Solingen, Klingenstadt;42651;89,54;158803;77157;81646;1774
6;4;11;0;0;Darmstadt, Wissenschaftsstadt;64283;122,07;158254;80565;77689;1296
5;9;16;0;0;Herne, Stadt;44623;51,42;156490;76665;79825;3043
5;1;62;24;24;Neuss, Stadt;41460;99,52;153810;74499;79311;1546
9;3;62;0;0;Regensburg;93019;80,85;150894;73121;77773;1866
5;7;74;32;32;Paderborn, Stadt;33098;179,59;149075;74117;74958;830
9;1;61;0;0;Ingolstadt;85047;133,35;135244;68292;66952;1014
6;4;13;0;0;Offenbach am Main, Stadt;63065;44,88;126658;62566;64092;2822
9;6;63;0;0;Würzburg;97067;87,60;126635;60447;66188;1446
9;5;63;0;0;Fürth;90744;63,35;126526;61962;64564;1997
8;4;21;0;0;Ulm, Universitätsstadt;89073;118,68;125596;62321;63275;1058
8;1;21;0;0;Heilbronn, Stadt;74072;99,89;125113;63068;62045;1253
